sn,sector,company_name,ticker,company_id,year,quarter,period,month,no._of_months,turnoverrevenue_gross_earnings_gross_premium_income_n(k),profit_before_tax_n(k),profit_after_tax_n(k),total_comprehensive_income_n(k),property_plant_and__equipment_n(k),total_asset_n(k),total_liabilities_n(k),issued_share_capital_n(k)
1,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2015,1,2015:Q1,JUN,3,23148054,2447924,1958339,,42536116,67796611,43017017,320295
2,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2015,2,2015:Q2,SEP,6,39569517,2371123,1820084,,43468049,68689868,44697775,320295
3,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2015,3,2015:Q3,DEC ,9,60226131,2884022,2230403,,42687261,66431175,42028762,320295
4,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2015,4,2015:Q4,MAR,12,82450505,8749101,7125788,8189312,44440675,67686839,43753206,320295
5,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2016,1,2016:Q1,JUN,3,26620008,1265143,775558,,41635043,72287205,46495497,320295
6,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2016,2,2016:Q2,SEP,6,46976977,-1945797,-1556638,,40422166,79232063,57034052,320295
7,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2016,3,2016:Q3,DEC ,9,75899025,-4843166,-4843166,,39809768,83168233,64256750,320295
8,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2016,4,2016:Q4,MAR,12,85634679,3757390,3347463,2598854,42536116,67796611,43017017,320295
9,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2017,1,2017:Q1,JUN,3,31846854,-2450330,-2450330,,39774370,83691684,72916543,320295
10,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2017,2,2017:Q2,APR,6,53338768,-6258476,-6258476,,39732279,81152301,74185306,320295
11,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2017,3,2017:Q3,DEC,9,83299468,-10291635,-10291635,,39115992,86819370,83894063,320295
12,CONSUMER GOODS,7up Bottling Company Plc,7UP,1,2017,4,2017:Q4,MAR,12,108277000,-11228438,-10776712,-10562376,40340397,87096647,73871176,320295
13,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2015,1,2015:Q1,MAR,3,2667243,111684,21491,21491,7486995,22766396,13212243,1323645
14,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2015,2,2015:Q2,JUN,6,5936462,252497,171698,171698,7364467,23674003,14041597,1323645
15,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2015,3,2015:Q3,SEP,9,8817544,400667,152041,152041,6823977,23438936,13754232,1323645
16,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2015,4,2015:Q4,DEC ,12,12535861,291225,-176986,-148858,6762099,22501905,13410923,1323645
17,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2016,1,2016:Q1,MAR,3,3581118,-168965,-114897,-114897,6810928,22864502,13103801,1323645
18,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2016,2,2016:Q2,JUN,6,6441806,-494014,-335930,-335930,6295799,24220273,15888317,1323645
19,CONGLOMERATES,A. G. Leventis Nigeria Plc,AGLEVENT,2,2016,3,2016:Q3,SEP,9,10278635,-823922,-560267,-560267,6049043,21688130,13429282,1323645
20,CONGLOMERATES,A.G. Leventis Nigeria Plc,AGLEVENT,2,2016,4,2016:Q4,DEC,12,12777906,-2912112,-2566280,-2482210,6125719,20343549,13999506,1323645
