date,crude_oil_price:_bonny_light,total_crude_oil_production___nigeria_(mbpd),total_crude_oil_production___opec_(mbpd)
2010-01-01,77.39,1.991,29.164
2010-02-01,75.04,1.953,29.296
2010-03-01,80.4,2.02,29.16
2010-04-01,86.14,1.985,29.117
2010-05-01,76.87,1.951,29.176
2010-06-01,76,2.009,29.075
2010-07-01,77.04,2.083,29.161
2010-08-01,78.82,2.107,29.163
2010-09-01,79.65,2.145,29.163
2010-10-01,84.35,2.189,29.181
2010-11-01,86.83,2.143,29.081
2010-12-01,93.08,2.192,29.474
2011-01-01,98.1,2.187,30.008
2011-02-01,105.66,2.084,29.95
2011-03-01,116.75,1.985,28.846
2011-04-01,127.12,2.118,28.816
2011-05-01,118.88,2.18,29.046
2011-06-01,117.27,2.144,29.576
2011-07-01,119.69,2.172,29.88
2011-08-01,112.41,2.224,30.053
2011-09-01,115.63,2.127,29.773
2011-10-01,113.09,1.994,29.85
2011-11-01,114.21,2.071,30.586
2011-12-01,110.71,2.023,30.784
2012-01-01,113.08,2.052,30.855
2012-02-01,122.36,2.085,31.161
2012-03-01,127.98,2.085,31.329
2012-04-01,122.36,2.155,31.619
2012-05-01,112.87,2.13,31.415
2012-06-01,97.19,2.134,31.305
2012-07-01,104.24,2.136,31.165
2012-08-01,114.63,2.199,31.454
2012-09-01,114.06,1.991,30.992
2012-10-01,113.31,1.961,30.955
2012-11-01,110.91,1.858,30.728
2012-12-01,111.19,2.072,30.289
2013-01-01,115.41,1.982,30.234
2013-02-01,118.69,1.722,30.264
2013-03-01,110.57,1.746,30.202
2013-04-01,105.17,1.734,30.538
2013-05-01,105.83,1.676,30.729
2013-06-01,106.12,1.544,30.4
2013-07-01,110.21,1.783,30.598
2013-08-01,113.62,1.88,30.493
2013-09-01,114.3,1.809,29.939
2013-10-01,112.44,1.758,29.848
2013-11-01,111.47,1.655,29.412
2013-12-01,113.11,1.702,29.708
2014-01-01,110.26,1.899,29.855
2014-02-01,110.77,1.908,30.21
2014-03-01,109.5,1.825,29.439
2014-04-01,110.19,1.824,29.624
2014-05-01,112.22,1.828,29.798
2014-06-01,114.36,1.811,29.786
2014-07-01,109.19,1.648,30.054
2014-08-01,102.26,1.785,30.109
2014-09-01,98.07,1.738,30.56
2014-10-01,88.51,1.822,30.423
2014-11-01,80.1,1.733,30.097
2014-12-01,63.81,1.89,30.252
2015-01-01,48.51,1.796,30.158
2015-02-01,58.46,1.802,29.973
2015-03-01,56.75,1.691,30.847
2015-04-01,60.65,1.65,30.941
2015-05-01,65.31,1.648,31.095
2015-06-01,62.19,1.567,31.559
2015-07-01,56.77,1.776,31.54
2015-08-01,47.07,1.754,31.491
2015-09-01,48.01,1.818,31.627
2015-10-01,49.16,1.812,32.07
2015-11-01,44.81,1.797,32.426
2015-12-01,38.16,1.889,32.208
2016-01-01,30.4,1.757,32.452
2016-02-01,32.24,1.744,32.241
2016-03-01,38.53,1.505,32.275
2016-04-01,41.51,1.57,32.62
2016-05-01,46.85,1.506,32.594
2016-06-01,48.48,1.379,33.053
2016-07-01,45.3,1.27,33.26
2016-08-01,42.01,1.104,33.174
2016-09-01,41.88,1.253,33.447
2016-10-01,50.83,1.39,33.719
2016-11-01,45.2,1.782,33.87
2016-12-01,53.91,1.94,33.085
2017-01-01,54.98,1.533,32.026
2017-02-01,55.24,1.426,32.086
2017-03-01,51.91,1.21,31.974
2017-04-01,53.02,1.404,32.217
2017-05-01,50.77,1.494,32.139
2017-06-01,46.92,1.663,32.611
2017-07-01,48.66,1.562,32.808
2017-08-01,51.69,1.63,32.651
2017-09-01,56.55,1.583,32.74
2017-10-01,57.97,1.6,32.581
2017-11-01,63.29,1.547,32.33
2017-12-01,64.64,1.569,32.299
2018-01-01,69.92,1.641,32.274
2018-02-01,66.02,1.635,32.086
2018-03-01,67.05,1.56,31.918
2018-04-01,72.75,1.63,32.156
2018-05-01,77.73,1.5,32.154
2018-06-01,74.86,1.45,32.283
2018-07-01,75.06,1.53,32.287
2018-08-01,73.29,1.67,32.637
2018-09-01,79.45,1.634,32.761
2018-10-01,82.09,1.635,32.358
2018-11-01,65.9,1.579,32.328
2018-12-01,57.82,1.797,31.591
2019-01-01,60.51,1.646,30.77
2019-02-01,65.19,1.69,30.556
2019-03-01,67.71,1.732,30.053
2019-04-01,72.81,1.713,30.123
2019-05-01,72.24,1.649,29.945
2019-06-01,65.59,1.802,29.865
2019-07-01,65.95,1.827,29.616
2019-08-01,60.46,1.76,29.809
2019-09-01,64.02,1.796,28.716
2019-10-01,61.45,1.78,29.753
2019-11-01,63.69,1.664,29.595
2019-12-01,68.18,1.659,28.872
2020-01-01,65.89,1.739,28.36
2020-02-01,57.77,1.742,27.813
2020-03-01,,1.799,28.578
2020-04-01,15.54,1.705,30.495
2020-05-01,24.86,1.436,24.154
2020-06-01,39.03,1.411,22.193
2020-07-01,43.46,1.373,23.172
2020-08-01,45.4,1.368,24.138
2020-09-01,40.78,1.332,24.077
2020-10-01,39.64,1.347,24.402
2020-11-01,41.91,1.329,25.109
