month,total_transaction_(n'bn),foreign_portfolio_inflow_(n'bn),foreign_portfolio_outflow_(n'bn),total_foreign_portfolio_transaction_(n'bn),total_domestic_transaction_(n'bn),domestic_institutional_transaction_(n'bn),domestic_retail_transaction_(n'bn)
2014-01-01,181.97,39.53,50.14,89.67,92.3,43.2,49.1
2014-02-01,198.7,32.75,103.53,136.28,62.42,32.23993,30.18007
2014-03-01,166.84,55.13,75.42,130.55,36.29,18.62,17.67
2014-04-01,184.43,65.06,73.73,138.79000000000002,45.64,27.1,18.54
2014-05-01,201.61,41.27,50.59,91.86000000000001,109.75,60.19,49.56
2014-06-01,225.51,68.78,49.22,118,107.51,55.87,51.64
2014-07-01,224.19,32.68,23.74,56.42,167.77,88.84,78.93
2014-08-01,135.58,53.86,56.54,110.4,25.18,9.05,16.13
2014-09-01,522.74,134.14,92.54,226.68,296.06,247.98,48.08
2014-10-01,175.1,52.06,101.22,153.28,21.82,11.9,9.92
2014-11-01,200.8,45.99,116.5,162.49,38.31,20.85,17.46
2014-12-01,258.08,71.14,53.36,124.5,133.58,97.5,36.08
2015-01-01,189.72,48.03,51.08,99.11,90.61,30.53,60.08
2015-02-01,184.49,52.35,81.6,133.95,50.53,26.94,23.59
2015-03-01,184.02,50.15,52.41,102.56,81.46,40.19,41.27
2015-04-01,206.86,54.2,49.75,103.95,102.91,50.85,52.06
2015-05-01,145.45,38,41.77,79.77,65.68,37.39,28.29
2015-06-01,203.45,42.67,26.98,69.95,133.8,108.23,25.57
2015-07-01,170.83,48.64,58.83,107.47,63.36,32.81,30.55
2015-08-01,145.69,33.06,48.07,81.13,64.56,38.32,26.24
2015-09-01,129.92,29.26,40.07,69.33,60.59,35.94,24.65
2015-10-01,106.84,25.56,28.64,54.2,52.64,30.22,22.42
2015-11-01,127.8,31.87,40.73,72.6,55.2,26.04,29.16
2015-12-01,110.56,17.04,34.31,51.35,59.21,40.18,19.03
2016-01-01,84.1,17.01,26.36,43.37,40.73,21.85,18.88
2016-02-01,117.27,10.94,31.84,42.78,74.49,38.25,36.24
2016-03-01,96.31,15.4,19.04,34.44,61.87,38.52,23.35
2016-04-01,66.96,14.52,13.76,28.28,38.68,17.85,20.83
2016-05-01,103.92,20.96,19.62,40.58,63.34,30.65,32.69
2016-06-01,155.85,42.46,37.3,79.77,76.08,39.04,37.04
2016-07-01,90.19,23.43,20.85,44.28,45.91,24.95,20.96
2016-08-01,117.71,34.7,21.36,56.06,61.65,38.26,23.39
2016-09-01,94.77,24.41,19.18,43.59,51.18,30.95,20.23
2016-10-01,64.03,18.67,12.57,31.24,32.79,19.47,13.32
2016-11-01,64.39,14.53,14.62,29.15,35.24,19.58,15.66
2016-12-01,95.88,19.49,24.53,44.02,51.86,35.65,16.21
2017-01-01,95.32,22.61,21.4,44.01,51.31,31.19,20.12
2017-02-01,74.11,16.1,18.44,34.54,39.57,24.35,15.22
2017-03-01,285.05,23.64,108.87,132.51,152.54,128.77,23.77
2017-04-01,54.9,14.54,7.91,22.45,32.45,18.25,14.2
2017-05-01,205.61,73.15,22.04,95.19,110.42,67.95,42.47
2017-06-01,220.27,65.93,35.6,101.53,118.74,56.34,62.4
2017-07-01,194.15,38.44,22.06,60.5,133.65,79.9,53.75
2017-08-01,396.86,165.47,42.87,208.34,188.52,149.41,39.11
2017-09-01,129.52,48.42,35.85,84.27,45.25,21.72,23.53
2017-10-01,127.82,39.56,28.08,67.64,60.18,33,27.18
2017-11-01,278.49,90.96,59.14,150.1,128.39,85.26,43.13
2017-12-01,480.8,173.43,33.05,206.48,274.32,241.4,32.92
2018-01-01,394.44,91.75,74.64,166.39,228.05,121.56,106.49
2018-02-01,212.05,44.89,38.33,83.22,128.83,76.08,52.75
2018-03-01,272.48,69.71,62.5,132.21,140.27,91.27,49
2018-04-01,212.23,64.28,58.25,122.53,89.7,46.51,43.19
2018-05-01,318.27,62.06,130.89,192.95,125.32,92.03,33.29
2018-06-01,187.78,47.96,54.45,102.41,85.38,56.24,29.12
2018-07-01,146.07,19.83,16.34,36.17,109.9,44.48,65.42
2018-08-01,133.84,36.66,34.31,70.97,62.87,22.68,40.19
2018-09-01,130.2,40.55,43.78,84.33,45.87,25.93,19.94
2018-10-01,121.45,40.82,42.66,83.48,37.97,14.82,23.15
2018-11-01,149.72,34.97,49.39,84.36,65.36,31.18,34.18
2018-12-01,125.86,22.97,37.11,60.08,65.78,37.87,27.91
2019-01-01,122.08,27.81,39.04,66.85,55.23,25.58,29.65
2019-02-01,188.08,43.93,55.01,98.94,89.14,48.13,41.01
2019-03-01,110.11,25.89,30.2,56.09,54.02,26.58,27.44
2019-04-01,148.91,35.14,41.78,76.92,71.99,42.73,29.26
2019-05-01,221.13,37.9,39.35,77.25,143.87,96.64,47.23
2019-06-01,297.25,44.3,52.44,96.74,200.51,45.38,155.12
2019-07-01,113.47,28.38,29.4,57.78,55.69,30.25,25.44
2019-08-01,121.99,34.92,28.98,63.9,58.09,34.17,23.92
2019-09-01,141.45,47.73,46.72,94.45,47,23.64,23.36
2019-10-01,163.16,37.85,65.88,103.73,59.43,41.2,18.23
2019-11-01,172.52,33.59,53.17,86.76,85.76,53.55,32.21
2019-12-01,127.94,21.69,41.45,63.14,64.8,40.32,24.47
2020-01-01,235.46,23.81,46.5,70.31,165.14,83.47,81.67
2020-02-01,148.5,18.97,52.37,71.34,77.16,47.6,29.56
2020-03-01,242.91,22.49,87.73,110.22,132.69,72.46,60.23
2020-04-01,128.67,20.98,32.2,53.18,75.49,35.07,40.42
2020-05-01,119.15,18.43,16.91,35.24,83.91,41.72,42.19
2020-06-01,128.88,25.27,31.07,56.34,72.54,40.2,32.34
2020-07-01,103.21,13.7,20.89,34.59,68.62,36.08,32.54
2020-08-01,94.45,17.66,21.32,38.98,55.47,28.86,26.61
2020-09-01,134.97,14,26.05,40.05,94.92,59.23,35.69
