date,narrow_money,broad_money,net_foreign_assets,net_domestic_credit,credit_to_government,credit_to_private_sector
2010-01-01,4640919.02,10446373.94,7417256.87,7767070.07,-2314928.24,10081998.31
2010-02-01,4800716.63,10792645.17,7298136.87,8160595.27,-1908865.87,10069461.14
2010-03-01,4966453.87,11023312.97,7249631.85,8401200.06,-1649471.84,10050671.9
2010-04-01,5043288.69,10972487.61,7008858.6,8527031.06,-1552194.14,10079225.2
2010-05-01,5018270.02,10759314.65,6601413.41,8895874,-1131095.05,10026969.06
2010-06-01,4917989.92,10845498.1,6484759.01,8612939.99,-1489877.51,10102817.5
2010-07-01,4958349.69,10941435.3,6583044.61,8595036.59,-1315668.99,9910705.58
2010-08-01,5422502.27,11520644.68,6526918.14,9326102.8,-787098.59,10113201.39
2010-09-01,5255890.8,11224789.77,6453963.97,9309837.5,-1026277.28,10336114.78
2010-10-01,5332749.8,11224607.28,6247755.87,9460245.24,-1074120.61,10534365.85
2010-11-01,5274242.15,11142651.36,6327100.32,9547259.21,-1201120.14,10748379.34
2010-12-01,5571269.89,11525530.34,6506618.59,8708545.45,-1121798.63,9830344.08
2011-01-01,5567074.86,11561525.95,6400551.35,8685737.08,-730969.81,9416706.89
2011-02-01,5389129.71,11595668.3,6725495.02,8514160.04,-664129.52,9178289.55
2011-03-01,5424517.2,11653623.81,6988078.1,8206788.33,-1240157.98,9446946.32
2011-04-01,5616622.3,11898956.66,6274531.7,9121783.42,-778250.74,9900034.16
2011-05-01,5551087.44,11986234.87,6357085.65,8963191.41,-886057.31,9849248.71
2011-06-01,5637264.54,12172096.71,6453690.26,8889638.55,-1068311.33,9957949.88
2011-07-01,5868318.06,12389274.84,7506030.43,8122612.45,-1829201.95,9951814.4
2011-08-01,5871231.72,12508014.99,6976366.33,9970901.9,-913324.49,10884226.39
2011-09-01,6002260.13,12618080.33,6669766.05,9962529.39,-1148207.62,11110737.01
2011-10-01,5798198.38,12172500.07,6724513.83,10270045.34,-1368380,11638425.34
2011-11-01,5773221.95,12210412.37,6623233.6,11209783.76,-1193107.79,12402891.55
2011-12-01,6771581.49,13303494.5,7138672.78,13686730.2,-496861.62,14183591.82
2012-01-01,6826905.39,13755293.22,7413617.17,13953999.83,-687551.21,14641551.03
2012-02-01,6420603.05,13153787.49,7234596.54,13469296.99,-541515.39,14010812.38
2012-03-01,6522940.37,13270973.81,7306723.1,13679078.48,-440807.6,14119886.08
2012-04-01,6668824.43,13304783.81,7692058.54,13407421.13,-785201.65,14192622.77
2012-05-01,6534503.57,13603139.34,7984810.5,13251670.95,-1220917.28,14472588.23
2012-06-01,6599394.54,13483059.41,7522255.04,13567429.11,-1133629.28,14701058.4
2012-07-01,6403787.56,13392426.38,7815868.96,13299032.12,-1546351.23,14845383.35
2012-08-01,6244358.37,13770062.26,8069447.59,13199255.52,-1508726.57,14707982.09
2012-09-01,6392454.87,14065267.13,8301526.97,13376396.87,-1377602.63,14753999.51
2012-10-01,6542100.03,14399299.17,8763203.12,13235641.21,-1705476.31,14941117.52
2012-11-01,6880644.29,15062729.97,8732276.44,14358224.23,-894329.75,15252553.99
2012-12-01,7420946.18,15483847.53,9043678.68,12698205.05,-2453557.09,15151762.15
2013-01-01,7078745.96,15308392.82,9271711.54,12489950.84,-2502762.38,14992713.22
2013-02-01,6914399.38,15547624.71,9752647.02,12808673.4,-2276494.72,15085168.13
2013-03-01,6938532.49,15669169.15,9685875.14,12740967.85,-2520968.24,15261936.09
2013-04-01,6776177.42,15634382.05,9557830.12,13205410.88,-2202764.55,15408175.43
2013-05-01,6744554.53,15424052.62,9404620.55,13235702.52,-2249527.38,15485229.91
2013-06-01,6939549.21,15593172.51,9164430.15,13149382.49,-2542654.43,15692036.93
2013-07-01,6522552.92,14811429.8,8907700.09,13820873.48,-1975740.91,15796614.39
2013-08-01,6270342.25,14619449.23,8993507.62,13187679.95,-2913532.85,16101212.81
2013-09-01,6293476.73,14362451.07,8923526.48,13087907.24,-3191362.4,16279269.64
2013-10-01,6460005.18,14529508,8897056.81,13627297.31,-2649138.72,16276436.03
2013-11-01,6378038.83,14734882.8,8680868.48,14092904.4,-2358883.29,16451787.69
2013-12-01,7032838.75,15688963.55,8658649.73,14535204.72,-1656265.28,16191470
2014-01-01,6782016.15,15493689.5,7404957.45,15585742.76,-478512.55,16064255.31
2014-02-01,6739403.75,15424175.18,6725386.92,15681565.85,-712493.7,16394059.55
