date,interbank_call_rate_pct,mpr_pct,treasury_bill_rate_pct,savings_deposit_rate_pct,12months_deposit_rate_pct,prime_lending_rate_pct,max._lending_rate_pct,crr_pct_private_sector_funds,crr_pct_public_sector_funds,liquidity_ratio_pct
2010-01-01,2.61,6,3.72,3.34,11.85,18.82,22.76,1,…,25
2010-02-01,2.27,6,2.33,3.31,7.8,18.74,23.33,1,…,25
2010-03-01,1.5,6,1.04,3.03,5.55,19.03,23.62,1,…,25
2010-04-01,1.27,6,1.2,2.94,6.79,19.05,23.47,1,…,25
2010-05-01,4.94,6,1.63,2.92,6.31,18.77,22.56,1,…,25
2010-06-01,2.73,6,2.29,1.95,4.9,17.65,22.03,1,…,25
2010-07-01,3.59,6,2.94,1.62,4.93,17.4,22.27,1,…,25
2010-08-01,1.26,6,2.63,1.41,4.93,16.89,22.31,1,…,25
2010-09-01,2.71,6.25,6.6,1.49,3.68,16.66,22.2,1,…,25
2010-10-01,8.5,6.25,6.75,1.48,3.97,16.16,21.85,1,…,25
2010-11-01,8.79,6.25,7.58,1.48,3.8,16.11,21.84,1,…,25
2010-12-01,8.03,6.25,7.47,1.51,3.53,15.74,21.86,1,…,25
2011-01-01,6.13,6.5,7.49,1.51,4.39,15.73,21.75,1,…,25
2011-02-01,8.38,6.5,7.09,1.48,3.73,15.75,21.88,2,…,25
2011-03-01,9.33,7.5,8.27,1.41,4.25,15.81,22.02,2,…,30
2011-04-01,10.8,7.5,9.52,1.43,3.87,15.75,22.19,2,…,30
2011-05-01,9.75,8,8.63,1.41,4.12,15.81,22.11,2,…,30
2011-06-01,11.15,8,8.2,1.4,4.68,15.76,22.02,4,…,30
2011-07-01,8.85,8.75,7.08,1.42,4.39,15.84,22.42,4,…,30
2011-08-01,8.59,8.75,7.41,1.46,4.48,15.82,22.27,4,…,30
2011-09-01,9.37,9.25,8.92,1.46,4.47,15.87,22.09,4,…,30
2011-10-01,13.07,12,15,1.41,4.9,16.49,23.32,8,…,30
2011-11-01,15.58,12,14.53,1.4,5.28,16.82,23.35,8,…,30
2011-12-01,15.85,12,14.27,1.41,7.12,16.75,23.21,8,…,30
2012-01-01,14.19,12,14.85,1.39,6.58,16.92,23.08,8,…,30
2012-02-01,14.35,12,14.76,1.43,6.63,17.11,23.13,8,…,30
2012-03-01,14.13,12,14.49,1.61,7.95,17.28,23.21,8,…,30
2012-04-01,14.23,12,13.92,1.72,7.15,16.9,23.31,8,…,30
2012-05-01,13.8,12,13.34,1.66,7.01,16.98,23.44,8,…,30
2012-06-01,14.92,12,14.08,1.7,7.51,16.93,23.44,8,…,30
2012-07-01,15.19,12,13.86,1.78,6.62,16.96,23.45,12,…,30
2012-08-01,17.81,12,14.26,1.77,6.85,16.53,23.76,12,…,30
2012-09-01,13.5,12,12.75,1.78,6.77,16.37,24.67,12,…,30
2012-10-01,11.42,12,12.94,1.76,6.21,16.48,24.65,12,…,30
2012-11-01,11.86,12,12.6,1.65,6.17,16.51,24.7,12,…,30
2012-12-01,11.88,12,11.77,1.66,10.63,16.54,24.61,12,…,30
2013-01-01,11.67,12,11.17,1.69,6.09,16.57,24.54,12,…,30
2013-02-01,11.98,12,9.9,1.72,5.67,16.56,24.6,12,…,30
2013-03-01,10.39,12,10.17,1.77,6.09,16.61,24.49,12,…,30
2013-04-01,11.24,12,10.41,1.82,6.49,16.65,24.53,12,…,30
2013-05-01,12.23,12,10.64,2.25,5.26,16.66,24.57,12,…,30
2013-06-01,11.59,12,11.6,2.04,5.32,16.56,24.58,12,…,30
2013-07-01,10.63,12,11.56,2.42,5.8,16.47,24.62,12,50,30
2013-08-01,15.24,12,11.3,2.45,4.88,16.55,24.46,12,50,30
2013-09-01,16.88,12,10.91,2.43,4.58,16.76,25.11,12,50,30
2013-10-01,11.08,12,10.8,2.39,4.71,17.1,24.9,12,50,30
2013-11-01,11.23,12,10.8,2.53,6.51,17.17,25,12,50,30
2013-12-01,10.75,12,10.97,2.53,5.02,17.01,24.9,12,50,30
2014-01-01,10,12,10.81,3.27,9.04,16.95,25.52,12,50,30
2014-02-01,10.5,12,11.82,3.26,9.3,16.93,25.83,12,75,30
2014-03-01,10.5,12,11.92,3.38,9.3,16.69,25.8,15,75,30
2014-04-01,10.5,12,11.26,3.42,9.69,16.7,25.63,15,75,30
2014-05-01,10.63,12,10.13,3.41,9.29,16.5,25.76,15,75,30
2014-06-01,10.5,12,9.98,3.42,9.19,16.5,26.07,15,75,30
2014-07-01,10.5,12,9.88,3.41,9.11,16.44,26.07,15,75,30
2014-08-01,11.91,12,9.95,3.24,7.47,16.6,25.07,15,75,30
2014-09-01,10.73,12,9.75,3.43,9.31,16.44,25.77,15,75,30
2014-10-01,10.98,12,9.83,3.43,9.23,16.48,25.75,15,75,30
2014-11-01,8.98,13,9.82,3.43,9.46,16.47,25.74,20,75,30
2014-12-01,24.3,13,10.8,3.46,9.51,15.88,25.91,20,75,30
2015-01-01,10.21,13,11.2,3.48,9.51,16.86,25.97,20,75,30
2015-02-01,23.5,13,10.88,3.47,9.37,16.77,26.33,20,75,30
2015-03-01,12.59,13,10.77,3.76,9.52,16.9,26.61,20,75,30
2015-04-01,24.24,13,10.23,3.6,6.48,15.95,26.41,20,75,30
2015-05-01,10.43,13,10.03,3.6,7.18,16.08,26.43,31,31,30
2015-06-01,10.85,13,9.95,3.6,10.83,17.24,26.84,31,31,30
2015-07-01,9.69,13,10,3.63,11.43,17.3,27.03,31,31,30
2015-08-01,27.92,13,10,3.63,11.21,17.29,27.01,31,31,30
2015-09-01,8.12,13,10.36,3.72,11.21,17.02,26.99,25,25,30
2015-10-01,3.22,13,9.11,3.71,7.72,16.84,27.01,25,25,30
2015-11-01,0.84,11,5.62,3.47,4.8,16.98,27.02,20,20,30
2015-12-01,0.77,11,4.57,3.33,4.88,16.96,26.84,20,20,30
2016-01-01,2.04,11,4.12,3.29,5.12,16.54,26.77,20,20,30
2016-02-01,2.67,11,4.91,3.29,5.22,16.72,26.73,20,20,30
2016-03-01,4.32,12,5.53,3.26,5.29,16.82,26.93,22.5,22.5,30
2016-04-01,3.75,12,7.27,3.54,5.27,16.77,26.88,22.5,22.5,30
2016-05-01,7.67,12,8.04,3.57,5.38,16.13,26.73,22.5,22.5,30
2016-06-01,35.26,12,8.32,3.61,5.17,16.78,26.93,22.5,22.5,30
2016-07-01,31.51,14,12.34,3.89,5.09,17.14,27.06,22.5,22.5,30
2016-08-01,24.25,14,15.25,3.93,5.22,17.18,27.21,22.5,22.5,30
2016-09-01,14.5,14,14,4.05,5.75,17.09,27.49,22.5,22.5,30
