year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1985,4.8164972962893895,4.855444713779601,4.907374603766549,5.002579402075952,5.041526819566163,5.032871837901672,5.071819255391882,5.063164273727391,5.0588367828951455,5.154041581204549,5.392053576978059,5.508895829448691
1986,5.824802660202622,6.04550469264715,6.093107091801852,6.326791596743115,6.240241780098203,6.378721486730064,6.530183665858661,6.534511156690907,6.707610789980731,6.962932749083224,7.066792529057119,7.088429983218348
1987,7.222582199017962,7.1922897631922424,6.997552675741189,6.8157980607868724,6.672990863322766,8.486209522033686,8.369367269563055,8.352057306234073,8.43427963204674,6.698955808316241,8.369367269563055,8.261179998756914
1988,8.25685250792467,8.282817452918142,8.460244577040212,8.659309155323513,8.620361737833301,8.914631114426005,9.152643110199515,9.416620050966499,9.697906955062464,9.888316551681273,10.013813785816396,10.1090185841258
1989,10.374081725091676,10.86200198893654,11.117323948039031,11.143288893032507,11.125978929703525,11.21685623718068,11.649605320405245,12.160249238610229,12.112646839455527,12.913232643420969,13.46715146994841,14.077327677295045
1990,14.843293554602523,15.115925477033997,15.405867362794455,15.665516812729193,16.543997451675057,18.06294673379327,19.27464416682205,20.062247498290755,20.261312076574054,20.784938467275776,21.749968922866554,22.234647896078062
1991,22.879444030082666,24.10412393560818,26.008219901796256,27.046817701535208,28.08541550127416,28.206585244577035,29.773136925849958,30.816062216421155,31.90658990614705,32.780743054260675,33.27840449996892,33.88425321648331
1992,34.360277208030325,35.08296817701535,36.31197557337311,36.52402262415315,37.238058611473676,37.68379016719497,38.06893685126484,41.94636863695692,44.226956305550374,46.58543880912424,47.51584933805705,47.93128845795263
1993,48.18228292622288,48.46356983031885,48.922283858536886,49.64930231835415,51.362988687923426,51.388953632916895,51.09901174715644,51.73515289949655,52.67854590092609,56.72907731990801,61.212357822114484,66.80780346820808
1994,72.10897973770899,74.22945024550934,77.58325564049971,79.86817079992541,81.16209055876685,83.04887656162595,83.36045590154764,82.83250202001366,84.64572067872459,87.56244949965814,91.71251320778171,95.42117285101621
1995,98.89614798930947,102.9856268257816,110.39861862141835,120.54225713220211,134.18683572627262,155.20545869848965,186.70093697557337,201.86013736092983,210.23383212132512,219.3172353782087,220.4943128845795,220.36448815961214
1996,222.22098172664553,224.18133507365278,227.89432220771954,234.22111380446265,246.84440456212317,250.93821088942752,256.161492323948,265.75121200820433,281.36912642177884,287.12036173783326,293.21346882963513,302.58248648144695
1997,314.53501616010936,333.18650164708805,370.49380011187765,377.78129467337925,371.83099477904153,366.07543197215483,352.63857293803215,332.43784573310955,308.58471626577165,283.6583690720368,276.77765864876625,278.71204705078003
1998,278.5,278.2,272.6,264.6,261.2,255.3,252.2,255.1,251.9,251.7,256.4,256.9
1999,247.6,242.7,246.3,240.1,222.1,280.9,236.7,236.1,233.4,243.7,280.2,294.1
2000,321.3,332.6,333.2,329.1,340.4,361.1,394.9,423.1,417.6,425.8,411.4,466.0587
2001,506.1,542.8,541.5,567.1,600.3,646.6,625.3,610.7,607.4,655.7,660.7,648.4495
2002,629.9,625.9,663.3,680.9,679.4,742,751.9,754.8,723.2,706.4,716.9,748.7
2003,841.2,864.6,846.9,840.1,877.3,896.9,859.7,949.9,1028.5,1168.3,1250.3,1324.898
2004,1534.85741219511,1740.2,1635,1833,1977.4,2066,1919.3,1686.1,1688,1824,1872,1925.9375
2005,1863.69018988648,1783.1636898278,1680,1798.74165210548,1844.59293381873,1886.2,1951.2711709065,2076.64261181151,2362.85132551673,2578.5313770648,2452.40352197438,2523.49331254407
2006,2566.4,2574.1,2510.8,2611.4,2803.6,2958.62,3170.7,3829.2,4083.7,4027,3937.844701481,4227.1341937547995
2007,4976.299711683379,5510.1517687488795,6150.04913932873,6745.54086882703,7383.06362013125,7817.85287329424,8262.78490283249,7819.7179002576795,8020.58911700351,8047.407801988679,8990.81092715509,10180.292984225
2008,10692.738058529301,12503.2,12125.8952793509,11491.2526038931,11614.463952550199,10920.32,10640.649739782,9744.46129395835,9836.91401350409,7969.05163834947,7305.863001698481,6957.4535010084
2009,4879.1,5231.9,4483.5,4883.3,6759.64,5986.3,5796.5,5274.42,5130.25,5144,4998.12,4989.39
2010,5441.5876318420305,5535.74716799875,6280.5987499952,6398.37983065716,6368.78308545231,6174.41787322925,6320.555104742531,5946.76918755118,5648.2774753083395,7982.47279757871,7908.297229873389,7913.75222464162
2011,8744.1708023487,8315.5911827133,7866.56937766673,8000.912051001191,8270.50226700679,7987.07990920561,7621.66,6876.55,6496.73663618035,6626.810175010981,6294.93,6532.58
2012,6579.10590697951,6342.00778030491,6549.8421,7030.6177,7042.75,6895.29,7340.058423,7560.06,8282.28,8422.74,8465.595,8974.44852
2013,10191.3156,10583.81,10733.286294,10691.689789999999,12075.2256944628,11426.252504888,12007.1661566552,11496.60767564064,11652.874043,12020.861002,12448.878,13226
2014,13005.471532105003,12706.756641282851,12445.6910167874,12671.6396751966,13694.732531903552,14027.706317873952,13900.4636,13713.864815116793,13607.4026857596,12436.9712982606,11404.2954153359,11477.6611744865
2015,9846.63,10044.55,10717.53,11786.95,11658.81,11421.02,10344.42,10336.8599680823,10728.9,10027.78,9495.5,9850.61
2016,8225.21,8452.46,8704.87,8621.01,9500.9,10165.34,9619.99,9478.87,9733.37,9349.56,8720.8,9246.92
