month,imports_(cif),exports(fob),balance,total_trade,crude_oil_exports,noncrude_oil_exports
2010-01-01,318687.6,519962.1,201274.5,838649.8,431161.9,88800.3
2010-02-01,311376.1,918395.4,607019.3,1229771.4,448037.9,470357.5
2010-03-01,862360.8,868682.9,6322.1,1731043.7,784330.2,84352.7
2010-04-01,483021.3,847472.1,364450.8,1330493.3,807423.2,40048.8
2010-05-01,372152.5,1622065.3,1249912.8,1994217.9,730203,891862.4
2010-06-01,365003.8,1133520.8,768517,1498524.7,809066.8,324454
2010-07-01,360395,1340068.7,979673.8,1700463.7,876202.7,463866.1
2010-08-01,606854.4,842591.1,235736.7,1449445.5,749478.2,93112.9
2010-09-01,1196307.5,770462,-425845.5,1966769.5,679862.4,90599.6
2010-10-01,397956.1,1398465.3,1000509.2,1796421.4,930889.5,467575.7
2010-11-01,990987.4,1096253.8,105266.4,2087241.2,871164.9,225088.9
2010-12-01,383423.4,1651966.1,1268542.7,2035389.5,1035267.1,616699
2011-01-01,1176565.8,883915.7,-292650,2060481.5,807423.2,76492.5
2011-02-01,376253.3,1371258.5,995005.2,1747511.9,763814,607444.5
2011-03-01,1554732.9,962550.3,-592182.6,2517283.2,851535.1,111015.3
2011-04-01,417001.5,1221431.7,804430.3,1638433.2,1182567.5,38864.2
2011-05-01,1300213,1078957,-221256,2379170,906258.8,172698.2
2011-06-01,1467581.1,1677795.4,210214.3,3145376.5,1296524.8,381270.6
2011-07-01,962886.5,1316744.4,353857.8,2279630.9,1275647.6,41096.8
2011-08-01,725524.1,1349017.2,623493.1,2074541.4,1308279.9,40737.4
2011-09-01,514815.9,2446488.4,1931672.5,2961304.3,2033861.2,412627.2
2011-10-01,426399,2604193.8,2177794.7,3030592.8,1198724.8,1405469
2011-11-01,448998.9,1879088.3,1430089.3,2328087.2,1112751.2,766337
2011-12-01,521672.2,2648916.3,2127244.1,3170588.4,1198473.3,1450442.9
2012-01-01,730956.6,1265686.3,534729.6,1996642.9,1234152,31534.2
2012-02-01,444026.3,1563221.3,1119195,2007247.7,1229982.5,333238.9
2012-03-01,477292.7,2140839.3,1663546.6,2618132,1251976.9,888862.4
2012-04-01,390437.5,2347438.8,1957001.3,2737876.3,1308099,1039339.9
2012-05-01,470844.6,1903246.2,1432401.6,2374090.8,1127254.8,775991.4
2012-06-01,547185.6,1424795.9,877610.3,1971981.6,1113040.3,311755.6
2012-07-01,426914.5,1935154.8,1508240.3,2362069.3,1527535.3,407619.5
2012-08-01,458624.5,2041635,1583010.5,2500259.5,1413970.2,627664.8
2012-09-01,385742.4,1931361.8,1545619.4,2317104.2,1223261.5,708100.3
2012-10-01,400549.1,2089950.4,1689401.3,2490499.5,1117274,972676.4
2012-11-01,460105.4,1745510.8,1285405.4,2205616.2,1067543.6,677967.2
2012-12-01,432191.2,2057479.6,1625288.4,2489670.8,1917808.7,139670.9
2013-01-01,598715,1357779.7,759064.8,1956494.7,1049222.9,308556.9
2013-02-01,608153.5,967471.7,359318.2,1575625.2,905550.8,61920.9
2013-03-01,439875.6,1126881.5,687005.9,1566757.1,1075883.3,50998.2
2013-04-01,544174.8,1321531.9,777357.1,1865706.7,978160.5,343371.4
2013-05-01,516280.3,1476883,960602.7,1993163.3,920615.4,556267.7
2013-06-01,537782.9,944492.9,406710,1482275.8,810657.6,133835.3
2013-07-01,882784.6,1129650.9,246866.4,2012435.5,999701.7,129949.3
2013-08-01,668275.6,1287600.3,619324.7,1955875.9,1104589,183011.4
2013-09-01,533709.4,1156137,622427.5,1689846.4,982685.2,173451.7
2013-10-01,537068.9,1085433.9,548365,1622502.7,993457.9,91975.9
2013-11-01,580354.9,1204079.7,623724.9,1784434.6,992072,212007.8
2013-12-01,568639.4,1187329,618689.6,1755968.5,996144.9,191184.2
2014-01-01,533370.1,1422423.9,889053.8,1955793.9,1093545.8,328878.1
2014-02-01,487553.3,1263067.7,775514.3,1750621,1108219.4,154848.3
2014-03-01,524521.2,1283987.1,759465.9,1808508.3,1031848.3,252138.8
2014-04-01,730739.5,1512888.3,782148.8,2243627.9,1115864.8,397023.5
2014-05-01,678090.4,1589360.8,911270.4,2267451.2,1073316,516044.8
2014-06-01,568407.9,1579906.6,1011498.7,2148314.5,1079579.8,500326.8
2014-07-01,673988.1,1290315.8,616327.7,1964303.9,981824.2,308491.6
2014-08-01,566877.9,2290965.3,1724087.4,2857843.3,1181239.2,1109726.2
2014-09-01,579789.9,1116563.1,536773.2,1696353,986267.5,130295.6
2014-10-01,753945.6,1031550.9,277605.3,1785496.4,816104.7,215446.2
2014-11-01,602961.9,950874.1,347912.2,1553836.1,783094,167780.1
2014-12-01,674124.7,972137.5,298012.8,1646262.2,640288.7,331848.9
2015-01-01,537189.8,694013.4,156823.6,1231203.2,505897.9,188115.6
2015-02-01,552385,1164159.2,611774.2,1716544.2,591964,572195.2
2015-03-01,638102.9,806887.1,168784.2,1444990,577361.3,229525.8
2015-04-01,562779.9,840736.8,277956.9,1403516.7,698387.3,142349.5
2015-05-01,536566.3,820187.4,283621,1356753.7,668526.5,151660.9
2015-06-01,606329.6,992866.2,386536.6,1599195.8,617363.8,375502.4
2015-07-01,624885.9,880515.5,255629.6,1505401.4,572813.2,307702.3
2015-08-01,580048.8,772218.8,192170,1352267.6,512822.9,259395.9
2015-09-01,483292.3,680480,197187.7,1163772.3,525857.1,154622.9
2015-10-01,548109.2,714591.6,166482.4,1262700.8,559539.1,155052.5
2015-11-01,520887.4,654051.2,133163.7,1174938.6,516815,137236.1
2015-12-01,507388.9,572334.8,64945.9,1079723.7,462192.2,110142.6
2016-01-01,623042.3,469879.8,-153162.5,1092922,354609.9,115269.9
2016-02-01,517790.5,428255.5,-89535,946046.1,338757.6,89497.9
2016-03-01,530548.7,537810.1,7261.5,1068358.8,434751.4,103058.8
2016-04-01,751611.2,560106.2,-191505,1311717.5,464987.7,95118.5
2016-05-01,695140.2,590765,-104375.1,1285905.2,494715.8,96049.3
2016-06-01,825559.1,637200.5,-188358.6,1462759.5,525859.2,111341.3
2016-07-01,747183.4,702722.7,-44460.7,1449906.1,579967.6,122755.1
2016-08-01,890820.1,858374.7,-32445.4,1749194.9,730645.9,127728.8
2016-09-01,774998.2,747759.8,-27238.3,1522758,633373.5,114386.3
