period,export_destination,total_exports,crude_oil_exports,non_crude_oil_exports,period.1,import_origin,total_imports
Q4-2011,United States,1574550.116643,847093.146421,727456.970222,Q4-2011,China                                                       ,285137.749522
Q4-2011,United Kingdom                                       ,900288.215099,130351.788489,769936.42661,Q4-2011,United States,143520.727661
Q4-2011,India                                                                                       ,633007.694108,324275.082043,308732.612065,Q4-2011,India                                                                                       ,110470.017917
Q4-2011,Spain                                                                           ,585969.733806,300173.764057,285795.969749,Q4-2011,Brazil                                                                                          ,104409.96113
Q4-2011,Brazil                                                                                          ,472842.807557,334379.930611,138462.876946,Q4-2011,United Kingdom                                       ,70989.324156
Q4-2011,Italy                                                                                        ,472391.957257,269249.280875,203142.676382,Q4-2011,Belgium                                                                        ,49586.884009
Q4-2011,France                                                     ,398640.185564,269364.046193,129276.139371,Q4-2011,France                                                     ,41908.686064
Q4-2011,Netherlands                                                                 ,273090.833611,273090.833611,0,Q4-2011,Korea Republic,38718.728716
Q4-2011,Australia                                                      ,171069.057065,66908.074916,104160.982149,Q4-2011,Japan,30875.569166
Q4-2011,China,167186.3,,,Q4-2011,Italy                                                                                        ,30259.741074
Q2-2012,United States,938696.978022,590826.393035,347870.584987,Q2-2012,China                                                       ,286232.449263
Q2-2012,India                                                                                       ,643150.451242,518793.330965,124357.120277,Q2-2012,United States,180752.657373
Q2-2012,United Kingdom                                       ,522446.736209,208719.931043,313726.805166,Q2-2012,Brazil                                                                                          ,159202.391877
Q2-2012,Brazil                                                                                          ,490101.219996,332306.981917,157794.238079,Q2-2012,India                                                                                       ,142528.043244
Q2-2012,Italy                                                                                        ,404998.639464,256697.218989,148301.420475,Q2-2012,Germany  F.R                                                                            ,57945.409362
Q2-2012,Spain                                                                           ,326616.222395,229292.046936,97324.175459,Q2-2012,Belgium                                                                                             ,57123.490705
Q2-2012,Netherlands                                                                 ,294140.945322,294140.945322,,Q2-2012,United Kingdom                                       ,56136.409066
Q2-2012,Australia                                                      ,182201.756525,127366.336718,54835.419807,Q2-2012,Barbados,36289.625824
Q2-2012,France                                                     ,163677.491598,132376.066202,31301.425396,Q2-2012,France                                                     ,30425.105952
Q2-2012,South Africa                                                                ,163229.181911,94995.061264,68234.120647,Q2-2012,South Africa                                                                ,30258.512555
Q3-2012,United States,1443594.249357,850759.525658,592834.723699,Q3-2012,China                                                       ,343209.463402
Q3-2012,Brazil                                                                                          ,571090.493766,401045.618002,170044.875764,Q3-2012,United States,201923.107281
Q3-2012,China                                                       ,450693.98555,327296.496159,123397.489391,Q3-2012,India                                                                                       ,85781.899823
Q3-2012,United Kingdom                                       ,443184.181325,242099.069368,201085.111957,Q3-2012,United Kingdom                                       ,64242.677875
Q3-2012,India                                                                                       ,384950.794441,325349.810565,59600.983876,Q3-2012,Brazil                                                                                          ,52218.881587
Q3-2012,Netherlands                                                                 ,357461.102134,357461.102134,0,Q3-2012,Belgium                                                                        ,44951.89035
Q3-2012,France                                                     ,355713.949448,184705.154901,171008.794547,Q3-2012,Italy                                                                                        ,30109.791057
Q3-2012,Italy                                                                                        ,309039.299664,256724.130673,52315.168991,Q3-2012,South Africa                                                                ,29287.929888
Q3-2012,Spain                                                                           ,250023.300907,246252.040735,3771.260172,Q3-2012,Japan,27564.014094
Q3-2012,Australia                                                      ,133348.661147,96864.159069,36484.502078,Q3-2012,France,25988.483678
Q4-2012,United States,977580.106186,723494.421058,254085.685128,Q4-2012,China,315081.284849
Q4-2012,India                                                                                       ,775772.702852,678430.058261,97342.644591,Q4-2012,United States,187483.306073
Q4-2012,Netherlands                                                                 ,427700.105665,409683.395502,18016.710163,Q4-2012,India                                                             ,110433.973372
Q4-2012,Italy                                                                                        ,367213.866101,238039.605282,129174.260819,Q4-2012,Brazil,68356.626451
Q4-2012,United Kingdom                                       ,350758.475057,246421.295611,104337.179446,Q4-2012,United Kingdom,59176.748995
Q4-2012,Spain                                                                           ,332085.351679,326980.965217,5104.386462,Q4-2012,Belgium,48748.03323
Q4-2012,China                                                       ,304257.016996,15566.814657,288690.202339,Q4-2012,Thailand,35475.41142
Q4-2012,Brazil                                                                                          ,301991.232153,290027.394579,11963.837574,Q4-2012,Germany F.R,31188.668818
Q4-2012,South Africa                                                                 ,208101.073064,132751.740629,75349.332435,Q4-2012,Netherlands,30534.237994
Q4-2012,Ireland,187767.800347,37064.02969,150703.770657,Q4-2012,Italy                                                              ,30443.121217
Q1-2013,United States,414095.114383,389530.65434,24564.460043,Q1-2013,China,335773.83171
Q1-2013,Netherlands,386037.542078,306712.072583,79325.469495,Q1-2013,United Kingdom,98867.527515
Q1-2013,Brazil,343031.202924,337167.621617,5863.581307,Q1-2013,Belgium,93413.777746
Q1-2013,India,332612.710506,322108.303389,10504.407117,Q1-2013,United States,84279.822836
Q1-2013,Spain,327614.946138,291527.679411,36087.266727,Q1-2013,Netherlands,80943.517087
Q1-2013,Italy,221594.756393,198826.755194,22768.001199,Q1-2013,France,55476.090429
Q1-2013,France,218308.042889,199699.511855,18608.531034,Q1-2013,India,50643.175931
Q1-2013,United Kingdom,183241.664211,170654.254522,12587.409689,Q1-2013,Germany,46633.366301
Q1-2013,Germany,95744.088142,75570.37764,20173.710502,Q1-2013,Brazil,27679.12501
Q1-2013,Ivory Coast,93343.677355,91657.208753,1686.468602,Q1-2013,South Africa,25138.994201
Q2-2013, Brazil                                                                                      ,442958.250496,276389.157915,166569.092581,Q2-2013,China                                                                                     ,387707.393326
Q2-2013,United States                                                                        ,441239.771492,375124.960427,66114.811065,Q2-2013,United States                                                                        ,154660.087421
Q2-2013,India                                                                                       ,359427.149203,252240.357751,107186.791452,Q2-2013,India                                                                                       ,104172.305067
Q2-2013,France                                                                                    ,238704.7583,129021.464391,109683.293909,Q2-2013,Netherlands                                                                 ,100213.782653
Q2-2013,Italy                                                                                        ,227494.46663,199083.267274,28411.199356,Q2-2013,United Kingdom                                                           ,89199.204904
Q2-2013,United Kingdom                                                          ,222832.0251,174328.351228,48503.673872,Q2-2013,Belgium                                                                        ,75816.912464
Q2-2013,South Africa                                                                ,221376.162793,218318.801504,3057.361289,Q2-2013,Germany                                                                                  ,56445.176675
Q2-2013,Spain                                                                           ,210294.710339,191636.892778,18657.817561,Q2-2013,Spain                                                                                        ,53560.839575
Q2-2013,Netherlands                                                                 ,201165.629881,157130.294057,44035.335824,Q2-2013,South Africa                                                                 ,42221.300482
Q2-2013,Australia                                                                                                  ,123289.520041,90189.603144,33099.916897,Q2-2013,France                                                                            ,35002.573153
Q3-2013,Netherlands                                                                                     ,512446.0641117,454657.323629,57788.7404827,Q3-2013,China                                                                                                ,378325.138609
Q3-2013,India                                                                                                   ,495290.8186998,486828.935374,8461.8833258,Q3-2013,United States                                                                                     ,188649.233627
Q3-2013,United States                                                                                    ,278473.7892037,258192.503141,20281.2860627,Q3-2013,United Kingdom                                                                                  ,120827.769845
Q3-2013,Brazil                                                                                          ,273079.3385317,272948.49004,130.8484917,Q3-2013,Belgium                                                                                             ,104215.787303
Q3-2013,Spain                                                                                                ,262072.24216629998,228948.842436,33123.3997303,Q3-2013,Netherlands                                                                                ,100976.244629
Q3-2013,Italy                                                                                                     ,233598.5905813,181340.720337,52257.8702443,Q3-2013,Brazil                                                                                                   ,91125.67779
Q3-2013,"France                                                                                                211,410,112,975.7                                                                     194,985,531,419.0                                16,424,581,556.7",211410.1129757,194985.531419,16424.5815567,Q3-2013, India                                                                                                    ,84392.980043
Q3-2013,United Kingdom                                                                                ,174364.766824,164027.508966,10337.257858,Q3-2013,Germany                                                                                             ,70266.175682
Q3-2013,South Africa                                                                                       ,169675.8266702,167912.807551,1763.0191192,Q3-2013,Spain                                                                                                    ,54163.305283
Q3-2013,Cote divore                                                                                        ,111016.39694539999,107587.500588,3428.8963574,Q3-2013,France                                                                                                                                            ,39858.89666
Q4-2013,India                                                             ,613791.6670761,601464.4740058001,12327.1930703,Q4-2013,China                                                       ,374121.89478
Q4-2013,Netherlands                                                 ,393673.55415940005,315665.3079679,78008.2461915,Q4-2013,United States                                          ,185072.00335
Q4-2013,Italy                                                              ,310729.7723426,295171.2555345,15558.5168082,Q4-2013,"Korea, South                                          ",122536.605169
Q4-2013,Brazil                                                            ,289849.3564404,289828.8841824,20.472258,Q4-2013,Netherlands                                            ,95717.993311
Q4-2013,South Africa                                               ,218865.6982479,217874.5964028,991.1018451,Q4-2013,India                                                        ,90738.76268
Q4-2013,Spain                                                           ,194866.6171197,187616.0293097,7250.58781,Q4-2013,Belgium                                                  ,67609.334239
Q4-2013,France                                                         ,166903.587887,162026.939769,4876.648118100001,Q4-2013,Germany                                                ,60608.542277
Q4-2013,United Kingdom                                         ,149500.53960579998,136505.2754045,12995.264201299999,Q4-2013,United Kingdom                                       ,58171.859908
Q4-2013,Ivory Coast                                                   ,90944.5411259,83995.46774260001,6949.0733833,Q4-2013,France                                                     ,54540.422125
Q4-2013,Australia                                                      ,80627.51986860001,80621.0500436,6.469825,Q4-2013,Brazil                                                       ,50103.118386
Q1-2014,India                                                                                       ,544039.50082384,516783.94597420003,27255.55484964,Q1-2014,China                                                                                    ,368108.352269
Q1-2014,"Netherlands                                                                           461,516,821,295.64                                                                 416,221,563,688.52                                       45,295,257,607.12",461516.82129564,416221.56368852,45295.25760712,Q1-2014,United States                                                                      ,164743.00468531
Q1-2014,"Brazil                                                                                      376,764,265,195.41                                                                 365,673,174,416.75                                       11,091,090,778.66",376764.26519541,365673.17441675,11091.09077866,Q1-2014,India                                                                                       ,93190.420037
Q1-2014,Spain                                                                                      ,345956.89468117,298965.56171757,46991.3329636,Q1-2014,Belgium                                                                                  ,91678.566024
Q1-2014,France                                                                                  ,310862.4406188,272505.69402125,38356.74659755,Q1-2014,Netherlands                                                                           ,76363.94125861
Q1-2014,United Kingdom                                                                   ,268402.17548028,107063.04645453,161339.12902575,Q1-2014,United Kingdom                                                                    ,70070.48199850999
Q1-2014,South Africa                                                                          ,170820.14285074,170368.72501343,451.41783731,Q1-2014,Germany                                                                                ,64501.508113
Q1-2014,Indonesia                                                                                                                                                                                             ,166670.65994082,165713.7810829,956.87885792,Q1-2014,Brazil                                                                                     ,42107.973072
Q1-2014,Italy                                                                                                                                                                                                    ,150850.27005053,141578.04704529,9272.22300524,Q1-2014,France                                                                                    ,36427.60171081
Q1-2014,United States                                                                        ,147440.2336506,134182.10777573,13258.12587487,Q1-2014,United Arab Emirates                                                           ,34289.938742
Q2-2014,Spain ,514078.58491310594,,,Q2-2014,China,426075.5169
Q2-2014,Netherlands,449742.28314080695,,,Q2-2014,United States,235611.539298583
Q2-2014,Brazil,413904.36792033,,,Q2-2014,Netherlands,138687.378787597
Q2-2014,Oceania,357529.9045535069,,,Q2-2014,United Kingdom                                       ,77489.478764035
Q2-2014,United Kingdom                                       ,304405.330269738,,,Q2-2014,Germany,76821.796175
Q2-2014,Italy ,287368.291801759,,,Q2-2014,"France                                                                                                211,410,112,975.7                                                                     194,985,531,419.0                                16,424,581,556.7",63692.380907114
Q2-2014,United States,250138.902989574,,,Q2-2014,Spain ,39007.000076102
Q2-2014,"France                                                                                                211,410,112,975.7                                                                     194,985,531,419.0                                16,424,581,556.7",248427.87588178398,,,Q2-2014,Brazil,38381.515308
Q2-2014,Japan,121576.063872444,,,Q2-2014,Italy ,30623.749109
Q2-2014,China,77106.19163438301,,,Q2-2014,Oceania,28873.969818999998
Q3-2014,India,685036.35227706,511533.13965784,173503.21261922,Q3-2014,China,429084.986741
Q3-2014,Spain,393344.59376917,296916.18320558,96428.41056358999,Q3-2014,United States,183259.24524401
Q3-2014,Netherlands,374169.93593333004,306348.48991833004,67821.446015,Q3-2014,Belgium,148389.52184176
Q3-2014,Brazil,238568.33781122,186897.19750404998,51671.14030717,Q3-2014,India,106518.751368
Q3-2014,South Africa,233735.27456423998,171472.88643823998,62262.388126,Q3-2014,Netherlands,94051.4291253
Q3-2014,Indonesia,230124.53848139002,211611.87469639,18512.663785,Q3-2014,United Kingdom,73762.673835
Q3-2014,France,217003.83285063002,180296.3097401,36707.52311053,Q3-2014,Germany,65251.687952
Q3-2014,United Kingdom,158902.85081972,134692.30322947,24210.54759025,Q3-2014,Brazil,54102.76189
Q3-2014,Niger Republic,154201.964507,0,154201.964507,Q3-2014,South Africa,41894.273681
Q3-2014,Italy,147846.35595793,114908.93804292999,32937.417915,Q3-2014,France,38207.093252449995
Q4-2014,India ,652485.150735,628893.878116,23591.272619,Q4-2014,China ,393521.939848
Q4-2014,Spain ,440121.20005,379041.581427,61079.618623,Q4-2014,"Korea, South",161014.103943
Q4-2014,South Africa,326204.000753,325796.203797,407.796956,Q4-2014,United States,160846.717443
Q4-2014,Netherlands,301275.437985,261125.078296,40150.359689,Q4-2014,India,122743.921122
Q4-2014,United Kingdom,236269.02992,211851.351831,24417.678089,Q4-2014,Belgium,110629.448401
Q4-2014,France ,174360.360756,132333.913834,42026.446922,Q4-2014,Netherlands,109880.143055
Q4-2014,Indonesia,170589.82021,165081.969539,5507.850671,Q4-2014,Germany,75875.314988
Q4-2014,United States,160326.073691,140685.575177,19640.498514,Q4-2014,United Kingdom,63851.792424
Q4-2014,Brazil   ,141099.963683,128184.700151,12915.263532,Q4-2014,Italy,57957.048908
Q4-2014,Italy ,108755.335738,103277.989154,5477.346584,Q4-2014,Thailand,57134.758543
Q1-2015,India,436555.040059,381308.76334245,55246.276716550004,Q1-2015,China,387508.213977
Q1-2015,Netherlands,319578.010497,248855.50386370998,70722.50663328999,Q1-2015,United States,133768.985518
Q1-2015,Spain,263370.395952,214463.99224177,48906.403710230006,Q1-2015,Belgium,118740.964276
Q1-2015,South Africa,260024.680929,238272.0563095,21752.6246195,Q1-2015,Netherlands,108696.791559
Q1-2015,Brazil,256950.639729,221899.46044221,35051.17928679,Q1-2015,India,96605.33636
Q1-2015,Ivory Coast,198555.071733,82499.30656797001,116055.76516503,Q1-2015,United Kingdom,79913.1538
Q1-2015,France,146566.751589,119309.45071112,27257.30087788,Q1-2015,Italy,74776.24777
Q1-2015,Germany,124839.680534,97725.71669372999,27113.96384027,Q1-2015,Germany,54664.806326
Q1-2015,Japan,120915.586855,,120915.586855,Q1-2015,Thailand,46325.309937
Q1-2015,Indonesia,118421.260351,108355.07661019001,10066.18374081,Q1-2015,Brazil,42522.837949
Q2-2015,India,406115.64289,352317.575973,53798.066917,Q2-2015,China,336486.31689
Q2-2015,Spain,297422.711788,259734.175078,37688.53671,Q2-2015,United States,143586.393266
Q2-2015,Netherlands,296312.212469,280882.374425,15429.838044,Q2-2015,Belgium,83434.23017
Q2-2015,South Africa,240885.564944,239985.970402,899.594542,Q2-2015,Netherlands,80865.610606
Q2-2015,Brazil,147767.484455,137374.46235,10393.022105,Q2-2015,India,115389.191829
Q2-2015,France,129946.139434,99887.0507,30059.088734,Q2-2015,Germany,52465.001403
Q2-2015,United States,114544.657406,32419.330158,82125.327248,Q2-2015,United Kingdom,68161.516607
Q2-2015,United Kingdom,89812.417744,80031.509103,9780.908641,Q2-2015,France,40113.216295
Q2-2015,Japan,77491.756882,0,77491.756882,Q2-2015,Brazil,40836.338243
Q2-2015,Indonesia,74392.404639,71404.007932,2988.396707,Q2-2015,Thailand,40896.970135
Q3-2015,India,408239.511287,,,Q3-2015,China,459398.197557
Q3-2015,Netherlands,245066.484475,,,Q3-2015,United States,160603.19797
Q3-2015,Spain,211357.202449,,,Q3-2015,Belgium,128316.268331
Q3-2015,United Kingdom,192231.681938,,,Q3-2015,Netherlands,101819.96469
Q3-2015,Brazil,169439.87839720002,,,Q3-2015,India,97415.808138
Q3-2015,France,106603.728696,,,Q3-2015,Germany,55043.285103
Q3-2015,South Africa,105054.109733,,,Q3-2015,United Kingdom,54230.991601
Q3-2015,United States,85510.551587,,,Q3-2015,Latvia,44787.658452
Q3-2015,Japan,80437.9729315,,,Q3-2015,Brazil,39514.429396
Q3-2015,Indonesia,71373.710581,,,Q3-2015,Thailand,31031.713012
Q4-2015,India  ,380692.6821572,,,Q4-2015,China,384538.47972400003
Q4-2015,Spain,228484.56351859999,,,Q4-2015,United States,137616.87133270002
Q4-2015,Netherlands,207214.35532906,,,Q4-2015,India  ,99304.555834
Q4-2015,France,139583.05911049998,,,Q4-2015,Netherlands                                                                 ,80137.6804216
Q4-2015,Brazil,100105.60716239999,,,Q4-2015,United Kingdom,76015.7607519
Q4-2015,United States,89169.636527,,,Q4-2015,Brazil,48905.314867
